"name"	"type"	"publisher"	"licenses"	"guessedLicenses"	"version"	"packages"	"repository"
"@angular/animations"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/cli"	"development"	"Angular Authors"	"MIT"		"1.1.1"	"kmc-ng"	"https://github.com/angular/angular-cli"
"@angular/common"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/compiler"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/compiler-cli"	"development"		"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/core"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/forms"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/http"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/language-service"	"development"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/platform-browser"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/platform-browser-dynamic"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@angular/router"	"production"	"angular"	"MIT"		"4.2.4"	"kmc-ng"	"https://github.com/angular/angular"
"@compodoc/compodoc"	"development"	"Vindent Ogloblinsky"	"MIT"		"1.0.0-beta.10"	"kmc-ng"	"https://github.com/compodoc/compodoc"
"@types/core-js"	"development"	"Ron Buckton"	"MIT"		"0.9.28"	"kmc-ng"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"@types/jasmine"	"development"		"MIT"		"2.5.45"	"kmc-ng"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"@types/jquery"	"development"		"MIT"		"2.0.47"	"kmc-ng"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"@types/node"	"development"		"MIT"		"6.0.78"	"kmc-ng"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"@types/ramda"	"development"	"Erwin Poeze"	"MIT"		"0.0.3"	"kmc-ng"	"https://wwwhub.com/DefinitelyTyped/DefinitelyTyped"
"codelyzer"	"development"	"Minko Gechev"	"MIT"		"3.0.1"	"kmc-ng"	"https://github.com/mgechev/codelyzer"
"core-js"	"production"		"MIT"		"2.4.1"	"kmc-ng"	"https://github.com/zloirock/core-js"
"intl"	"production"	"Andy Earnshaw"	"MIT"		"1.2.5"	"kmc-ng"	"https://github.com/andyearnshaw/Intl.js"
"jasmine-core"	"development"		"MIT"		"2.6.4"	"kmc-ng"	"https://github.com/jasmine/jasmine"
"jasmine-spec-reporter"	"development"	"Bastien Caudan"	"Apache-2.0"		"4.1.1"	"kmc-ng"	"https://github.com/bcaudan/jasmine-spec-reporter"
"jquery"	"production"	"JS Foundation and other contributors"	"MIT"		"3.2.1"	"kmc-ng"	"https://github.com/jquery/jquery"
"karma"	"development"	"Vojta Jína"	"MIT"		"1.7.0"	"kmc-ng"	"https://github.com/karma-runner/karma"
"karma-chrome-launcher"	"development"	"Vojta Jina"	"MIT"		"2.1.1"	"kmc-ng"	"https://github.com/karma-runner/karma-chrome-launcher"
"karma-cli"	"development"	"Vojta Jína"	"MIT"		"1.0.1"	"kmc-ng"	"https://github.com/karma-runner/karma-cli"
"karma-coverage-istanbul-reporter"	"development"	"Matt Lewis"	"MIT"		"1.3.0"	"kmc-ng"	"https://github.com/mattlewis92/karma-coverage-istanbul-reporter"
"karma-jasmine"	"development"	"Vojta Jina"	"MIT"		"1.1.0"	"kmc-ng"	"https://github.com/karma-runner/karma-jasmine"
"karma-jasmine-html-reporter"	"development"		"MIT"		"0.2.2"	"kmc-ng"	"https://github.com/taras42/karma-jasmine-html-reporter"
"moment"	"production"	"Iskren Ivov Chernev"	"MIT"		"2.18.1"	"kmc-ng"	"https://github.com/moment/moment"
"ng2-page-scroll"	"production"	"Sebastian Fuss"	"MIT"		"4.0.0-beta.9"	"kmc-ng"	"https://github.com/Nolanus/ng2-page-scroll"
"ng2-translate"	"production"	"Olivier Combe"	"MIT"		"5.0.0"	"kmc-ng"	"https://github.com/ocombe/ng2-translate"
"ng2-webstorage"	"production"	"Nicolas Gaignoux"	"MIT"		"1.8.0"	"kmc-ng"	"https://github.com/PillowPillow/ng2-webstorage"
"normalize.css"	"production"		"MIT"		"5.0.0"	"kmc-ng"	"https://github.com/necolas/normalize.css"
"primeng"	"production"		"MIT"		"4.0.3"	"kmc-ng"	"https://github.com/primefaces/primeng"
"protractor"	"development"	"Julie Ralph"	"MIT"		"5.1.2"	"kmc-ng"	"https://github.com/angular/protractor"
"ramda"	"production"	"Scott Sauyet"	"MIT"		"0.22.1"	"kmc-ng"	"https://github.com/ramda/ramda"
"rxjs"	"production"	"Ben Lesh"	"Apache-2.0"		"5.4.1"	"kmc-ng"	"https://github.com/ReactiveX/RxJS"
"standard-version"	"development"	"Ben Coe"	"ISC"		"4.2.0"	"kmc-ng"	"https://github.com/conventional-changelog/standard-version"
"ts-helpers"	"development"	"Martin Hochel"	"MIT"		"1.1.2"	"kmc-ng"	"https://github.com/ngParty/ts-helpers"
"ts-md5"	"production"		"MIT"		"1.2.0"	"kmc-ng"	"https://github.com/cotag/ts-md5"
"ts-node"	"development"	"Blake Embrey"	"MIT"		"3.0.6"	"kmc-ng"	"https://github.com/TypeStrong/ts-node"
"tslib"	"production"	"Microsoft Corp."	"Apache-2.0"		"1.7.1"	"kmc-ng"	"https://github.com/Microsoft/tslib"
"tslint"	"development"		"Apache-2.0"		"5.3.2"	"kmc-ng"	"https://github.com/palantir/tslint"
"typescript"	"development"	"Microsoft Corp."	"Apache-2.0"		"2.3.4"	"kmc-ng"	"https://github.com/Microsoft/TypeScript"
"web-animations-js"	"production"		"Apache-2.0"		"2.2.5"	"kmc-ng"	"https://github.com/web-animations/web-animations-js"
"zone.js"	"production"	"Brian Ford"	"MIT"		"0.8.12"	"kmc-ng"	"https://github.com/angular/zone.js"